"Städte nach Fläche, Bevölkerung und Bevölkerungsdichte am 31.12.2024 (Jahr)",,,,,,,,
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ männlich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ weiblich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
1848,081165002054,"Owen, Stadt",73277,  9.70, 3 417, 1 707, 1 710, 352
1849,160775050012,"Gößnitz, Stadt",04639,  14.07, 3 413, 1 671, 1 742, 243
1850,120605006100,"Joachimsthal, Stadt",16247,  121.68, 3 402, 1 722, 1 680, 28
1851,071375002501,"Münstermaifeld, Stadt",56294,  27.77, 3 394, 1 611, 1 783, 122
1852,032555409013,"Eschershausen, Stadt",37632,  23.92, 3 378, 1 687, 1 691, 141
1853,160715007046,"Kranichfeld, Stadt",99448,  23.10, 3 376, 1 700, 1 676, 146
1854,066330002002,"Bad Karlshafen, Stadt",34385,  14.85, 3 373, 1 715, 1 658, 227
1855,010515178127,"Wesselburen, Stadt",25764,  5.13, 3 368, 1 625, 1 743, 657
1856,146285204030,"Bad Schandau, Stadt",01814,  46.78, 3 346, 1 623, 1 723, 72
1857,096735639153,"Ostheim v.d.Rhön, St",97645,  40.85, 3 344, 1 665, 1 679, 82
1858,150835054245,"Gröningen, Stadt",39397,  59.89, 3 343, 1 662, 1 681, 56
1859,160760092092,"Auma-Weidatal, Stadt",07955,  55.91, 3 324, 1 650, 1 674, 59
1860,130725256056,"Krakow am See, Stadt",18292,  87.36, 3 324, 1 626, 1 698, 38
1861,160735012113,"Schwarzatal, Stadt",98744,  25.98, 3 319, 1 609, 1 710, 128
1862,120625031341,"Mühlberg/Elbe, Stadt",04931,  89.20, 3 309, 1 644, 1 665, 37
1863,081185008059,"Oberriexingen, Stadt",71739,  8.16, 3 306, 1 664, 1 642, 405
1864,160750132132,"Tanna, Stadt",07922,  87.35, 3 304, 1 647, 1 657, 38
1865,095715538229,"Wolframs-Eschenbach, St",91639,  25.47, 3 282, 1 587, 1 695, 129
1866,160750135135,"Saalburg-Ebersdorf, Stadt",07929,  72.05, 3 271, 1 604, 1 667, 45
1867,160695004063,"Heldburg, Stadt",98663,  112.74, 3 261, 1 656, 1 605, 29
1868,071355002045,"Kaisersesch, Stadt",56759,  8.18, 3 256, 1 577, 1 679, 398
1869,093720154154,"Rötz, St",92444,  66.67, 3 256, 1 643, 1 613, 49
1870,145215110210,"Geyer, Stadt",09468,  18.56, 3 255, 1 565, 1 690, 175
1871,130745457084,"Warin, Stadt",19417,  44.45, 3 255, 1 622, 1 633, 73
1872,130765656048,"Goldberg, Stadt",19399,  64.72, 3 236, 1 555, 1 681, 50
1873,082355005084,"Bad Teinach-Zavelstein, Stadt",75385,  25.17, 3 220, 1 645, 1 575, 128
1874,072335006029,"Hillesheim, Stadt",54576,  20.62, 3 207, 1 580, 1 627, 156
1875,150875051250,"Kelbra (Kyffhäuser), Stadt",06537,  40.82, 3 196, 1 582, 1 614, 78
1876,120695902270,"Havelsee, Stadt",14798,  81.97, 3 181, 1 581, 1 600, 39
1877,083275001016,"Fridingen an der Donau, Stadt",78567,  22.47, 3 157, 1 586, 1 571, 140
1878,146280190190,"Hohnstein, Stadt",01848,  64.64, 3 150, 1 564, 1 586, 49
1879,120730384384,"Lychen, Stadt",17279,  111.98, 3 139, 1 514, 1 625, 28
1880,160720011011,"Lauscha, Stadt",98724,  18.72, 3 133, 1 540, 1 593, 167
1881,094790129129,"Kirchenlamitz, St",95153,  48.48, 3 122, 1 529, 1 593, 64
1882,120620469469,"Sonnewalde, Stadt",03249,  119.29, 3 120, 1 595, 1 525, 26
1883,146265206030,"Bernstadt a. d. Eigen, Stadt",02748,  52.00, 3 117, 1 561, 1 556, 60
1884,160720015015,"Schalkau, Stadt",96528,  44.02, 3 111, 1 534, 1 577, 71
1885,150895051075,"Egeln, Stadt",39435,  29.33, 3 108, 1 501, 1 607, 106
1886,120710408408,"Welzow/Wjelcej, Stadt",03119,  39.57, 3 102, 1 512, 1 590, 78
1887,095710177177,"Merkendorf, St",91732,  26.07, 3 099, 1 578, 1 521, 119
1888,160745051009,"Bürgel, Stadt",07616,  27.19, 3 099, 1 532, 1 567, 114
1889,146265224350,"Neusalza-Spremberg, Stadt",02742,  22.91, 3 092, 1 526, 1 566, 135
1890,096795646124,"Eibelstadt, St",97246,  7.07, 3 091, 1 488, 1 603, 437
1891,094790150150,"Schönwald, St",95173,  19.19, 3 076, 1 489, 1 587, 160
1892,065350010010,"Kirtorf, Stadt",36320,  79.91, 3 072, 1 512, 1 560, 38
1893,094760152152,"Ludwigsstadt, St",96337,  58.74, 3 068, 1 498, 1 570, 52
1894,120715102044,"Döbern/Derbno, Stadt",03159,  15.79, 3 066, 1 463, 1 603, 194
1895,120645406268,"Lebus, Stadt",15326,  54.42, 3 049, 1 512, 1 537, 56
1896,130745454039,"Klütz, Stadt",23948,  44.44, 3 036, 1 422, 1 614, 68
1897,130755563044,"Gützkow, Stadt",17506,  57.65, 3 034, 1 497, 1 537, 53
1898,096750158158,"Prichsenstadt, St",97357,  48.87, 3 032, 1 550, 1 482, 62
1899,146250610610,"Weißenberg / Wóspork, Stadt",02627,  50.96, 3 024, 1 538, 1 486, 59
1900,093770112112,"Bärnau, St",95671,  74.41, 3 007, 1 566, 1 441, 40
1901,071415009501,"Braubach, Stadt",56338,  19.50, 3 002, 1 512, 1 490, 154
1902,082255007114,"Ravenstein, Stadt",74747,  55.97, 2 999, 1 549, 1 450, 54
1903,130715155159,"Wesenberg, Stadt",17255,  89.65, 2 992, 1 479, 1 513, 33
1904,094720197197,"Waischenfeld, St",91344,  57.93, 2 989, 1 534, 1 455, 52
1905,081265001085,"Waldenburg, Stadt",74638,  31.54, 2 986, 1 514, 1 472, 95
1906,094775435156,"Stadtsteinach, St",95346,  39.80, 2 983, 1 464, 1 519, 75
1907,071375009221,"Rhens, Stadt",56321,  16.31, 2 950, 1 429, 1 521, 181
1908,071405009112,"Oberwesel, Stadt",55430,  18.08, 2 939, 1 449, 1 490, 163
1909,150845053360,"Nebra (Unstrut), Stadt",06642,  25.46, 2 937, 1 417, 1 520, 115
1910,120670137137,"Friedland, Stadt",15848,  174.15, 2 936, 1 492, 1 444, 17
1911,071315001001,"Adenau, Stadt",53518,  18.56, 2 935, 1 453, 1 482, 158
1912,120685804280,"Lindow (Mark), Stadt",16835,  65.47, 2 921, 1 483, 1 438, 45
1913,071335010065,"Meisenheim, Stadt",55590,  10.33, 2 910, 1 417, 1 493, 282
1914,071435007067,"Selters (Westerwald), Stadt",56242,  8.70, 2 902, 1 403, 1 499, 334
1915,120620461461,"Schönewalde, Stadt",04916,  156.16, 2 899, 1 472, 1 427, 19
1916,066330016016,"Liebenau, Stadt",34396,  48.88, 2 880, 1 396, 1 484, 59
1917,094790166166,"Weißenstadt, St",95163,  42.23, 2 880, 1 442, 1 438, 68
1918,066350014014,"Hatzfeld (Eder), Stadt",35116,  58.51, 2 865, 1 406, 1 459, 49
1919,130765654034,"Dömitz, Stadt",19303,  60.57, 2 864, 1 399, 1 465, 47
1920,160750133133,"Wurzbach, Stadt",07343,  72.32, 2 864, 1 424, 1 440, 40
1921,145235131370,"Schöneck/Vogtl., Stadt",08261,  55.04, 2 857, 1 390, 1 467, 52
1922,071405009133,"Sankt Goar, Stadt",56329,  23.17, 2 847, 1 434, 1 413, 123
1923,160765006049,"Münchenbernsdorf, Stadt",07589,  15.45, 2 842, 1 411, 1 431, 184
1924,094790135135,"Marktleuthen, St",95168,  35.48, 2 820, 1 378, 1 442, 79
1925,010545417036,"Garding, Stadt",25836,  3.06, 2 816, 1 372, 1 444, 920
1926,083155012111,"Sulzburg, Stadt",79295,  22.74, 2 794, 1 358, 1 436, 123
1927,130755554054,"Jarmen, Stadt",17126,  30.71, 2 787, 1 380, 1 407, 91
1928,066350010010,"Frankenau, Nationalparkstadt",35110,  57.29, 2 782, 1 389, 1 393, 49
1929,095715502198,"Schillingsfürst, St",91583,  27.50, 2 770, 1 413, 1 357, 101
1930,065350018018,"Ulrichstein, Stadt",35327,  65.61, 2 728, 1 339, 1 389, 42
1931,130725254035,"Gnoien, Warbelstadt",17179,  41.11, 2 703, 1 290, 1 413, 66
1932,160655052014,"Ebeleben, Stadt",99713,  44.54, 2 667, 1 343, 1 324, 60
1933,160695002051,"Themar, Stadt",98660,  20.18, 2 664, 1 320, 1 344, 132
1934,150845053285,"Laucha an der Unstrut, Stadt",06636,  31.28, 2 657, 1 348, 1 309, 85
1935,145220170170,"Frauenstein, Stadt",09623,  58.98, 2 656, 1 332, 1 324, 45
1936,146250130130,"Elstra / Halštrow, Stadt",01920,  32.63, 2 651, 1 333, 1 318, 81
1937,145215140180,"Elterlein, Stadt",09481,  45.74, 2 636, 1 299, 1 337, 58
1938,065350014014,"Romrod, Stadt",36329,  54.43, 2 574, 1 252, 1 322, 47
1939,120705009325,"Putlitz, Stadt",16949,  119.68, 2 566, 1 282, 1 284, 21
1940,010540033033,"Friedrichstadt, Stadt",25840,  4.02, 2 563, 1 239, 1 324, 638
1941,160745005116,"Schkölen, Stadt",07619,  53.43, 2 559, 1 310, 1 249, 48
1942,081175006061,"Lauterstein, Stadt",73111,  23.31, 2 558, 1 298, 1 260, 110
1943,130765664020,"Brüel, Stadt",19412,  27.22, 2 557, 1 255, 1 302, 94
1944,120635302088,"Friesack, Stadt",14662,  84.03, 2 545, 1 274, 1 271, 30
1945,150895052005,"Alsleben (Saale), Stadt",06425,  23.72, 2 526, 1 183, 1 343, 106
1946,033545407026,"Wustrow (Wendland), Stadt",29462,  30.18, 2 524, 1 269, 1 255, 84
1947,150845051015,"Bad Bibra, Stadt",06647,  49.93, 2 515, 1 252, 1 263, 50
1948,120705001008,"Bad Wilsnack, Stadt",19336,  79.38, 2 512, 1 185, 1 327, 32
1949,084375002101,"Scheer, Stadt",72516,  18.73, 2 510, 1 265, 1 245, 134
1950,130735360093,"Tribsees, Stadt",18465,  54.97, 2 506, 1 275, 1 231, 46
1951,083365006079,"Schönau im Schwarzwald, Stadt",79677,  14.72, 2 504, 1 243, 1 261, 170
1952,094725417118,"Betzenstein, St",91282,  51.84, 2 491, 1 254, 1 237, 48
1953,120615114164,"Golßen, Stadt",15938,  63.66, 2 458, 1 230, 1 228, 39
1954,010615153055,"Krempe, Stadt",25361,  3.38, 2 435, 1 202, 1 233, 720
1955,094760184184,"Wallenfels, St",96346,  45.65, 2 432, 1 212, 1 220, 53
1956,145210330330,"Jöhstadt, Stadt",09477,  49.69, 2 413, 1 209, 1 204, 49
1957,160645001004,"Bad Tennstedt, Stadt",99955,  27.42, 2 399, 1 161, 1 238, 87
1958,120695918696,"Ziesar, Stadt",14793,  67.96, 2 389, 1 165, 1 224, 35
1959,150855051365,"Wegeleben, Stadt",38828,  51.88, 2 378, 1 190, 1 188, 46
1960,083355001001,"Aach, Stadt",78267,  10.68, 2 377, 1 187, 1 190, 223
1961,093745331147,"Pleystein, St",92714,  42.40, 2 368, 1 182, 1 186, 56
1962,160685006042,"Rastenberg, Stadt",99636,  35.52, 2 360, 1 183, 1 177, 66
1963,150855051285,"Schwanebeck, Stadt",39397,  32.97, 2 352, 1 152, 1 200, 71
1964,150845054375,"Osterfeld, Stadt",06721,  27.66, 2 346, 1 195, 1 151, 85
1965,120625209445,"Schlieben, Stadt",04936,  78.65, 2 344, 1 144, 1 200, 30
1966,160750131131,"Gefell, Stadt",07926,  45.22, 2 344, 1 187, 1 157, 52
1967,033585402018,"Rethem (Aller), Stadt",27336,  34.08, 2 332, 1 178, 1 154, 68
1968,120735304189,"Gartz (Oder), Stadt",16307,  61.88, 2 328, 1 143, 1 185, 38
1969,071415011068,"Katzenelnbogen, Stadt",56368,  9.18, 2 287, 1 075, 1 212, 249
1970,065350006006,"Grebenau, Stadt",36323,  55.34, 2 273, 1 135, 1 138, 41
1971,093765344160,"Schönsee, St",92539,  50.28, 2 269, 1 143, 1 126, 45
1972,150845051125,"Eckartsberga, Stadt",06648,  36.13, 2 255, 1 145, 1 110, 62
1973,096750144144,"Mainbernheim, St",97350,  12.21, 2 230, 1 106, 1 124, 183
1974,084155006034,"Hayingen, Stadt",72534,  63.37, 2 211, 1 092, 1 119, 35
1975,145215130520,"Schlettau, Stadt",09487,  21.22, 2 208, 1 088, 1 120, 104
1976,147305303090,"Dommitzsch, Stadt",04880,  30.44, 2 198, 1 101, 1 097, 72
1977,146260420420,"Ostritz, Stadt",02899,  23.48, 2 198, 1 096, 1 102, 94
1978,160685002014,"Gebesee, Stadt",99189,  24.08, 2 181, 1 075, 1 106, 91
1979,130735353027,"Garz/Rügen, Stadt",18574,  65.91, 2 170, 1 078, 1 092, 33
1980,130725259085,"Rerik, Ostseebad, Stadt",18230,  34.22, 2 166, 1 035, 1 131, 63
1981,146285219210,"Königstein/Sächs. Schw., Stadt",01824,  27.05, 2 151, 1 087, 1 064, 80
1982,084375001114,"Veringenstadt, Stadt",72519,  31.25, 2 149, 1 071, 1 078, 69
1983,160750046046,"Hirschberg, Stadt",07927,  24.13, 2 105, 1 047, 1 058, 87
1984,096735637123,"Fladungen, St",97650,  46.34, 2 092, 1 052, 1 040, 45
1985,120705006280,"Meyenburg, Stadt",16945,  50.71, 2 061, 1 032, 1 029, 41
1986,066350017017,"Rosenthal, Stadt",35119,  51.55, 2 051, 1 031, 1 020, 40
1987,120695910448,"Niemegk, Stadt",14823,  45.11, 2 038, 1 029, 1 009, 45
1988,120705005244,"Lenzen (Elbe), Stadt",19309,  96.20, 2 031,  997, 1 034, 21
1989,081175007058,"Wiesensteig, Stadt",73349,  23.41, 2 001, 1 018,  983, 85
1990,120665606240,"Ortrand, Stadt",01990,  7.36, 1 996,  950, 1 046, 271
1991,073365008058,"Lauterecken, Stadt",67742,  8.89, 1 990,  974, 1 016, 224
1992,120605011176,"Oderberg, Stadt",16248,  36.12, 1 981, 1 005,  976, 55
1993,145215130510,"Scheibenberg, Stadt",09481,  9.00, 1 972,  971, 1 001, 219
1994,160705002043,"Plaue, Stadt",99338,  22.69, 1 972,  952, 1 020, 87
1995,145210440440,"Oberwiesenthal, Kurort, Stadt",09484,  40.03, 1 929,  949,  980, 48
1996,160715008053,"Magdala, Stadt",99441,  20.58, 1 924,  964,  960, 93
1997,160730106106,"Leutenberg, Stadt",07338,  57.52, 1 919,  951,  968, 33
1998,120615108492,"Teupitz, Stadt",15755,  48.16, 1 902,  921,  981, 39
1999,096770177177,"Rieneck, St",97794,  26.19, 1 868,  917,  951, 71
2000,084375001047,"Hettingen, Stadt",72513,  46.06, 1 861,  949,  912, 40
2001,094755431165,"Schauenstein, St",95197,  26.66, 1 859,  928,  931, 70
2002,094765433180,"Teuschnitz, St",96358,  34.25, 1 847,  906,  941, 54
2003,120735303085,"Brüssow, Stadt",17326,  101.81, 1 842,  945,  897, 18
2004,073365008105,"Wolfstein, Stadt",67752,  13.77, 1 835,  909,  926, 133
2005,032575407033,"Sachsenhagen, Stadt",31553,  15.47, 1 821,  927,  894, 118
2006,096755618149,"Marktsteft, St",97342,  10.51, 1 813,  932,  881, 173
2007,160735005028,"Gräfenthal, Stadt",98743,  36.42, 1 806,  895,  911, 50
2008,081255007103,"Widdern, Stadt",74259,  25.23, 1 782,  931,  851, 71
2009,081275004047,"Langenburg, Stadt",74595,  31.40, 1 749,  886,  863, 56
2010,095715506189,"Ornbau, St",91737,  15.16, 1 720,  861,  859, 113
2011,095745527160,"Velden, St",91235,  21.34, 1 712,  860,  852, 80
2012,130755556107,"Penkun, Stadt",17328,  78.87, 1 707,  863,  844, 22
2013,096795654182,"Röttingen, St",97285,  27.21, 1 681,  855,  826, 62
2014,160755013088,"Ranis, Stadt",07389,  10.57, 1 680,  821,  859, 159
2015,130735360007,"Bad Sülze, Stadt",18334,  26.67, 1 659,  804,  855, 62
2016,145225129520,"Sayda, Stadt",09619,  35.30, 1 659,  831,  828, 47
2017,130715153109,"Neukalen, Peenestadt",17154,  47.97, 1 649,  803,  846, 34
2018,120635309260,"Rhinow, Stadt",14728,  31.67, 1 603,  784,  819, 51
2019,096765632158,"Stadtprozelten, St",97909,  10.87, 1 597,  844,  753, 147
2020,160660047047,"Oberhof, Stadt",98559,  23.40, 1 592,  790,  802, 68
2021,073395001003,"Bacharach, Stadt",55422,  23.35, 1 575,  804,  771, 67
2022,146285221370,"Stadt Wehlen, Stadt",01829,  10.85, 1 538,  784,  754, 142
2023,120645408084,"Buckow (Märkische Schweiz), Stadt",15377,  14.42, 1 513,  745,  768, 105
2024,130755562137,"Usedom, Stadt",17406,  39.06, 1 499,  708,  791, 38
2025,160735005046,"Lehesten, Stadt",07349,  35.94, 1 495,  776,  719, 42
2026,072315008080,"Manderscheid, Stadt",54531,  10.06, 1 434,  700,  734, 143
2027,150905051010,"Arneburg, Stadt",39596,  31.14, 1 402,  698,  704, 45
2028,073405008211,"Hornbach, Stadt",66500,  13.34, 1 387,  693,  694, 104
2029,094795443127,"Hohenberg a.d.Eger, St",95691,  15.66, 1 384,  667,  717, 88
2030,160765056029,"Hohenleuben, Stadt",07958,  9.53, 1 373,  748,  625, 144
2031,096795644114,"Aub, St",97239,  17.54, 1 370,  718,  652, 78
2032,150835054355,"Kroppenstedt, Stadt",39397,  38.91, 1 357,  679,  678, 35
2033,072325005088,"Neuerburg, Stadt",54673,  10.17, 1 344,  668,  676, 132
2034,120615113308,"Lieberose, Stadt",15868,  73.03, 1 330,  658,  672, 18
2035,130735355076,"Richtenberg, Stadt",18461,  15.67, 1 301,  637,  664, 83
2036,130735355024,"Franzburg, Stadt",18461,  15.20, 1 272,  615,  657, 84
2037,071415009121,"Sankt Goarshausen, Loreleystadt, Stadt",56346,  7.06, 1 248,  659,  589, 177
2038,130755551074,"Lassan, Stadt",17440,  28.21, 1 224,  586,  638, 43
2039,146285202230,"Liebstadt, Stadt",01825,  37.36, 1 207,  611,  596, 32
2040,093745327140,"Neustadt am Kulm, St",95514,  20.30, 1 160,  572,  588, 57
2041,066340023023,"Schwarzenborn, Stadt",34639,  26.90, 1 086,  575,  511, 40
2042,160745011065,"Orlamünde, Stadt",07768,  7.47, 1 081,  548,  533, 145
2043,073335007054,"Obermoschel, Stadt",67823,  10.15, 1 065,  519,  546, 105
2044,094775437129,"Kupferberg, St",95362,  8.28, 1 049,  540,  509, 127
2045,150885051340,"Schraplau, Stadt",06279,  7.07, 1 020,  502,  518, 144
2046,160655002012,"Clingen, Stadt",99718,  10.75,  985,  477,  508, 92
2047,094755428146,"Lichtenberg, St",95192,  9.47,  961,  473,  488, 101
2048,096775621181,"Rothenfels, St",97851,  12.07,  947,  498,  449, 78
2049,072325008070,"Kyllburg, Stadt",54655,  4.62,  939,  484,  455, 203
2050,150905051610,"Werben (Elbe), Hansestadt",39615,  53.20,  899,  469,  430, 17
2051,150845054470,"Stößen, Stadt",06667,  7.33,  869,  413,  456, 119
2052,120615108328,"Märkisch Buchholz, Stadt",15748,  24.86,  849,  435,  414, 34
2053,150905052445,"Sandau (Elbe), Stadt",39524,  18.56,  796,  379,  417, 43
2054,071415009069,"Kaub, Stadt",56349,  13.05,  788,  385,  403, 60
2055,160755013127,"Ziegenrück, Stadt",07924,  8.25,  626,  307,  319, 76
2056,160715053061,"Neumark, Stadt",99439,  8.67,  462,  238,  224, 53
2057,160695004052,"Ummerstadt, Stadt",98663,  15.73,  455,  226,  229, 29
2058,033545403021,"Schnackenburg, Stadt",29493,  23.70,  447,  222,  225, 19
2059,010595920002,"Arnis, Stadt",24399,  0.45,  251,  125,  126, 558
,,,,,,,,
Quelle: Gemeindeverzeichnis-Informationssytem GV-ISys,,,,,,,,
,,,,,,,,
"1) Abweichungen bei den Flächenangaben sind durch Runden der Zahlen möglich. Aufgrund fachlicher und methodischer Umstellungen in der Vermessungsverwaltung auf das ""Amtliche Liegenschaftskataster-Informationssystem"" (ALKIS®).ist der Vergleich der Flächendaten ab 2014 mit den Flächendaten vorangegangener Jahre nur eingeschränkt möglich. ",,,,,,,,
"2) Da die Bevölkerung ab Berichtsjahr 2024 auf der Grundlage des Zensus 2022 basiert, ist die Bevölkerung nur bedingt mit den Vorjahreswerten vergleichbar.  Erläuterungen dazu finden Sie unter www.destatis.de beim Bevölkerungsstand.",,,,,,,,
,,,,,,,,
© Daten (im Auftrag der Herausgebergemeinschaft Statistische Ämter des Bundes und der Länder),,,,,,,,
"Statistisches Bundesamt (Destatis), 2025",,,,,,,,
"Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.",,,,,,,,
