"Städte nach Fläche, Bevölkerung und Bevölkerungsdichte am 31.12.2024 (Jahr)",,,,,,,,
Laufende Nummer,Amtlicher Regionalschlüssel,Stadt,Postleitzahl ,Fläche km² ¹⁾,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ insgesamt,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ männlich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾ weiblich,Bevölkerung auf Grundlage des ZENSUS 2022 ²⁾             je km²
1793,071355005092,"Zell (Mosel), Stadt",56856,  44.95, 3 993, 2 001, 1 992, 89
1794,130720074074,"Neubukow, Schliemannstadt",18233,  25.14, 3 969, 1 928, 2 041, 158
1795,095770158158,"Pappenheim, St",91788,  64.32, 3 942, 1 989, 1 953, 61
1796,145245135290,"Waldenburg, Stadt",08396,  25.06, 3 941, 1 934, 2 007, 157
1797,130745457057,"Neukloster, Stadt",23992,  27.51, 3 925, 1 933, 1 992, 143
1798,130745459017,"Dassow, Stadt",23942,  66.96, 3 922, 1 985, 1 937, 59
1799,096760112112,"Amorbach, St",63916,  50.90, 3 907, 1 910, 1 997, 77
1800,095775534125,"Ellingen, St",91792,  31.25, 3 897, 1 896, 2 001, 125
1801,145220350350,"Lunzenau, Stadt",09328,  28.34, 3 880, 1 881, 1 999, 137
1802,032565409014,"Hoya, Stadt",27318,  8.45, 3 862, 1 870, 1 992, 457
1803,150895052165,"Güsten, Stadt",39439,  36.23, 3 843, 1 855, 1 988, 106
1804,064310018018,"Neckarsteinach, Stadt",69239,  17.24, 3 828, 1 945, 1 883, 222
1805,065310001001,"Allendorf (Lumda), Stadt",35469,  22.05, 3 824, 1 929, 1 895, 173
1806,160685005064,Kindelbrück,99638,  64.65, 3 823, 1 921, 1 902, 59
1807,083375006097,"St. Blasien, Stadt",79837,  54.41, 3 818, 1 864, 1 954, 70
1808,094730165165,"Seßlach, St",96145,  72.53, 3 809, 1 940, 1 869, 53
1809,147290360360,"Regis-Breitingen, Stadt",04565,  26.37, 3 803, 1 878, 1 925, 144
1810,096755618147,"Marktbreit, St",97340,  20.16, 3 793, 1 915, 1 878, 188
1811,064390010010,"Lorch, Stadt",65391,  54.43, 3 780, 1 907, 1 873, 69
1812,130765664128,"Sternberg, Stadt",19406,  67.69, 3 769, 1 820, 1 949, 56
1813,145210670670,"Wolkenstein, Stadt",09429,  30.51, 3 762, 1 862, 1 900, 123
1814,147290400400,"Trebsen/Mulde, Stadt",04687,  35.05, 3 744, 1 875, 1 869, 107
1815,120665607272,"Ruhland, Stadt",01945,  37.22, 3 728, 1 781, 1 947, 100
1816,130715155099,"Mirow, Stadt",17252,  158.28, 3 711, 1 798, 1 913, 23
1817,072325007123,"Speicher, Stadt",54662,  15.36, 3 681, 1 817, 1 864, 240
1818,160765051003,"Bad Köstritz, Stadt",07586,  20.34, 3 651, 1 767, 1 884, 179
1819,083275001036,"Mühlheim an der Donau, Stadt",78570,  21.74, 3 649, 1 789, 1 860, 168
1820,146270270270,"Strehla, Stadt",01616,  30.27, 3 644, 1 751, 1 893, 120
1821,081285003047,"Grünsfeld, Stadt",97947,  44.72, 3 640, 1 817, 1 823, 81
1822,083260068068,"Vöhrenbach, Stadt",78147,  70.47, 3 631, 1 869, 1 762, 52
1823,073325001009,"Deidesheim, Stadt",67146,  26.54, 3 623, 1 710, 1 913, 137
1824,081280039039,"Freudenberg, Stadt",97896,  34.76, 3 615, 1 804, 1 811, 104
1825,145235120260,"Netzschkau, Stadt",08491,  12.51, 3 615, 1 750, 1 865, 289
1826,145230100100,"Elsterberg, Stadt",07985,  25.10, 3 609, 1 748, 1 861, 144
1827,066350012012,"Gemünden (Wohra), Stadt",35285,  58.65, 3 606, 1 797, 1 809, 61
1828,160755011116,"Triptis, Stadt",07819,  33.15, 3 606, 1 800, 1 806, 109
1829,160680058058,"Weißensee, Stadt",99631,  55.33, 3 598, 1 815, 1 783, 65
1830,146265203010,"Bad Muskau / Mužakow, Stadt",02953,  15.38, 3 577, 1 766, 1 811, 233
1831,145210320320,"Johanngeorgenstadt, Stadt",08349,  29.59, 3 567, 1 783, 1 784, 121
1832,091820132132,"Tegernsee, St",83684,  22.74, 3 567, 1 686, 1 881, 157
1833,145230040040,"Bad Elster, Stadt",08645,  19.77, 3 552, 1 675, 1 877, 180
1834,096740164164,"Königsberg i.Bay., St",97486,  61.88, 3 543, 1 755, 1 788, 57
1835,130745458065,"Rehna, Stadt",19217,  44.59, 3 542, 1 746, 1 796, 79
1836,146260530530,"Seifhennersdorf, Stadt",02782,  19.12, 3 536, 1 717, 1 819, 185
1837,083255004051,"Schiltach, Stadt",77761,  34.21, 3 517, 1 742, 1 775, 103
1838,071335011103,"Stromberg, Stadt",55442,  9.01, 3 514, 1 680, 1 834, 390
1839,095755524115,"Burgbernheim, St",91593,  42.30, 3 512, 1 742, 1 770, 83
1840,064310012012,"Hirschhorn (Neckar), Stadt",69434,  30.85, 3 482, 1 721, 1 761, 113
1841,120685805324,"Neustadt (Dosse), Stadt",16845,  75.87, 3 469, 1 703, 1 766, 46
1842,081255011059,"Löwenstein, Stadt",74245,  23.46, 3 460, 1 708, 1 752, 147
1843,160770028028,"Lucka, Stadt",04613,  12.93, 3 457, 1 632, 1 825, 267
1844,160720019019,"Steinach, Stadt",96523,  26.35, 3 456, 1 696, 1 760, 131
1845,145240310310,"Wildenfels, Stadt",08134,  20.68, 3 452, 1 745, 1 707, 167
1846,094720143143,"Goldkronach, St",95497,  30.68, 3 451, 1 687, 1 764, 112
1847,071355003083,"Ulmen, Stadt",56766,  28.74, 3 432, 1 751, 1 681, 119
